,UNIT,station_name,lat,lng,location_string
318,R326,ZEREGA AVE,40.83646,-73.846471,"40.83646,-73.846471"
319,R327,52 ST-LINCOLN,40.744103,-73.912497,"40.744103,-73.912497"
320,R328,METS-WILLETS PT,40.754622,-73.845625,"40.754622,-73.845625"
321,R329,MORRIS PARK,40.854137,-73.860977,"40.854137,-73.860977"
322,R330,3 AVE,40.733243,-73.987169,"40.733243,-73.987169"
323,R331,155 ST,40.830551,-73.941486,"40.830551,-73.941486"
324,R332,135 ST,40.817902,-73.947644,"40.817902,-73.947644"
325,R333,116 ST,40.805072,-73.954833,"40.805072,-73.954833"
326,R334,CATHEDRL-110 ST,40.800637,-73.958201,"40.800637,-73.958201"
327,R335,BEACH 67 ST,40.590867,-73.797011,"40.590867,-73.797011"
328,R336,BEACH 60 ST,40.592334,-73.788493,"40.592334,-73.788493"
329,R337,BEACH 44 ST,40.593214,-73.776433,"40.593214,-73.776433"
330,R338,BEACH 36 ST,40.595381,-73.768194,"40.595381,-73.768194"
331,R339,36 ST,40.75202,-73.92874,"40.75202,-73.92874"
332,R340,65 ST,40.749663,-73.898485,"40.749663,-73.898485"
333,R341,75 AVE,40.718477,-73.837223,"40.718477,-73.837223"
334,R342,JAMAICA-VAN WYC,40.702566,-73.816859,"40.702566,-73.816859"
335,R343,FRANKLIN ST,40.719323,-74.006953,"40.719323,-74.006953"
336,R344,145 ST,40.820402,-73.936315,"40.820402,-73.936315"
337,R345,148 ST-LENOX,40.823877,-73.936443,"40.823877,-73.936443"
338,R346,COURT SQ,40.747029,-73.94537,"40.747029,-73.94537"
339,R347,69 ST-FISK AVE,40.746325,-73.896403,"40.746325,-73.896403"
340,R348,ATLANTIC AVE,40.675496,-73.902819,"40.675496,-73.902819"
341,R349,SUTTER AVE,40.669376,-73.902047,"40.669376,-73.902047"
342,R350,LIVONIA AVE,40.663801,-73.900444,"40.663801,-73.900444"
343,R352,HEWES ST,40.706994,-73.953481,"40.706994,-73.953481"
344,R353,LORIMER ST,40.703855,-73.947387,"40.703855,-73.947387"
345,R354,OXFORD-104 ST,40.681745,-73.837631,"40.681745,-73.837631"
346,R355,GREENWOOD-111,40.684364,-73.832181,"40.684364,-73.832181"
347,R356,LEFFERTS BLVD,40.685975,-73.824713,"40.685975,-73.824713"
348,R357,AQUEDUCT-N CNDT,40.668234,-73.834058,"40.668234,-73.834058"
349,R358,BEACH 25 ST,40.600138,-73.76152,"40.600138,-73.76152"
350,R359,COURT SQ-23 ST,40.747257,-73.945112,"40.747257,-73.945112"
351,R360,VAN ALSTON-21ST,40.743973,-73.949876,"40.743973,-73.949876"
352,R361,PELHAM PARKWAY,40.857188,-73.867607,"40.857188,-73.867607"
353,R362,ALLERTON AVE,40.865481,-73.867393,"40.865481,-73.867393"
354,R363,BURKE AVE,40.871387,-73.867135,"40.871387,-73.867135"
355,R364,GUN HILL ROAD,40.877796,-73.866255,"40.877796,-73.866255"
356,R365,219 ST,40.883767,-73.862736,"40.883767,-73.862736"
